strain	latitude	longitude
hDenV1/Togo/KAR-107K-CERI-K063732/2024/EPI_ISL_19745040/2024-08-27	9.541111	0.7876018
hDenV1/Togo/GL-BMFA-74-CERI-K063632/2024/EPI_ISL_19744993/2024-06-01	6.1829727	1.189281
hDenV1/Togo/GL-BMFA-443-CERI-K063691/2024/EPI_ISL_19745012/2024-08-01	6.1829727	1.189281
hDenV1/Togo/GL-BMFA-269-CERI-K063645/2024/EPI_ISL_19744998/2024-06-25	6.1829727	1.189281
hDenV1/Togo/PG-052-2025-C066987/2024-07-23	8.7800265	1.0199765
hDenV1/Togo/GL-12057-CERI-K063744/2024/EPI_ISL_19745046/2024-07-11	6.1829727	1.189281
hDenV1/Togo/GL-12180-CERI-K063745/2024/EPI_ISL_19745047/2024-07-11	6.1829727	1.189281
hDenV1/Togo/GL-BMFA-198-CERI-K063772/2024/EPI_ISL_19745052/1905-07-16	6.1829727	1.189281
hDenV1/Togo/GL-BMFA-130-CERI-K063760/2024/EPI_ISL_19745049/2024-06-13	6.1829727	1.189281
hDenV1/Togo/PLA-BMFA-399-CERI-K063687/2024/EPI_ISL_19745011/2024-07-25	7.53805	0.9118019
hDenV1/Togo/GL-BMFA-278-CERI-K063646/2024/EPI_ISL_19744999/2024-06-26	6.1829727	1.189281
