"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,18,3.41609802120319,1.13869934040106,1.56205754382966,1.78215083440772,2.59534068363193,3.29044299853718,4.10024562663888,5.47890870320481,5.98317772255042
13,19,4.19752260612146,1.1641833066377,2.23500400457594,2.48285990082011,3.36502974016516,4.09039829642924,4.91345293823452,6.27774032949246,6.76820977691233
14,20,3.66058993558003,1.01526497778317,1.94910997101012,2.16526099255374,2.93458669687975,3.56716859954162,4.28494091929781,5.47471335468491,5.90244363547395
15,21,4.76269328277171,1.09263677466747,2.86745247650185,3.11880011199069,3.98744780470932,4.67940289269295,5.44725611512825,6.69077448251544,7.13094509137135
16,22,4.53128700946348,1.01322657787221,2.76782782490985,3.0030315301276,3.81311142798072,4.45599342790541,5.16748124837554,6.31644182059649,6.72235766743095
17,23,4.75639573667231,0.991777070055796,3.0151468886768,3.2507891967778,4.05531438005488,4.68764290028324,5.38260562131414,6.49657692742525,6.88814290116855
18,24,4.74002665837149,0.948005331674297,3.06749533024088,3.29566959476268,4.07093244059434,4.67697830616242,5.34045578186149,6.39949165226071,6.77067258269751
19,25,4.17236793474049,0.851681038272021,2.67331486397043,2.87702827017388,3.57080173001547,4.11456364952299,4.71098282235882,5.66492555115911,5.99974216086827
20,26,3.49698112630933,0.745558881211199,2.19153945396704,2.36741466254877,2.96950371874388,3.4441416603977,3.96691939146404,4.80682997456559,5.10252952367431
21,27,3.329475934143,0.694243723524958,2.11060213647802,2.27555169856746,2.83871914392538,3.28134896430393,3.76782271100225,4.54760237198094,4.82169846456547
22,28,3.15454143137384,0.643918073277898,2.02117421795083,2.17519284479445,2.69972403602412,3.11083818768066,3.56176414162422,4.28299772126668,4.53613763695951
23,29,3.33953968069236,0.631113677753145,2.21909986511176,2.37353474983479,2.89502339564396,3.29986849687737,3.74084615635948,4.44089149079777,4.68532437054888
24,30,3.36102048622952,0.603657099547431,2.28365035442793,2.43343431945621,2.9366058511524,3.32495038166123,3.74614433411541,4.41166547161364,4.64328941783687
25,31,3.56012663372394,0.593354438953989,2.49346892619348,2.64350938171733,3.14401295110808,3.52721731176314,3.94038867826338,4.58901660028825,4.81373893121846
