"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,17,1.55101148663733,0.775505743318665,0.422598428345679,0.529793881940722,0.983077692740208,1.42385210027445,1.98119517989171,3.00650258456604,3.39953530941411
12,18,1.08120763600173,0.624235519695478,0.222971007818708,0.294698078855657,0.622523106750712,0.963738143442365,1.41292288126174,2.26902004621966,2.60379582469022
13,19,1.01831072079194,0.587921968767906,0.210000151799899,0.277554655648975,0.586309171741679,0.907674761836316,1.33072914927024,2.13702471368191,2.4523256354722
14,20,0.970747626716032,0.560461403599691,0.200191498338758,0.264590677240135,0.558923936838694,0.865279234414225,1.26857366526722,2.03720890557539,2.33778280240254
15,21,0.623907961456447,0.441169550382129,0.075558148611101,0.110856437860043,0.299874736743158,0.52356702457893,0.839978059933406,1.47986742054732,1.73809633500149
16,22,0.911704864374556,0.526373048868141,0.188015461298951,0.248497756645616,0.524929093831592,0.812651265217574,1.19141654289092,1.913301890053,2.19559429675027
17,23,0.896861291579931,0.517803108119429,0.184954359734882,0.244451935805775,0.51638266228255,0.799420395576249,1.17201895176887,1.88215119974427,2.15984757097884
18,24,0.593574986463176,0.419720898070825,0.0718846846164948,0.105466851951246,0.285295514401596,0.498112395939826,0.799140252017991,1.40791965864341,1.6535940751771
19,25,0.59413581248825,0.420117461956221,0.0719526032499558,0.105566499943001,0.285565069475449,0.498583026275379,0.799895301777898,1.40924989998408,1.65515643648514
20,26,0.598992254933624,0.423551485341787,0.0725407409604478,0.106429396305005,0.287899266968963,0.50265842405557,0.806433614085887,1.42076905248519,1.66868561921226
21,27,0.607847737268027,0.429813256951121,0.0736131809541352,0.108002845095165,0.292155560521563,0.510089710116116,0.818355902837681,1.4417736567049,1.69335541402328
22,28,0.620605809730928,0.438834576504507,0.0751582427175606,0.110269709047174,0.298287592579996,0.520795946374378,0.835532316055522,1.4720349403448,1.7288971290828
23,29,0.637235744260218,0.450593715980857,0.077172204939847,0.113224528375749,0.306280594027494,0.534751346655082,0.857921484018894,1.51148001852313,1.77522516148874
24,30,0.6577115373975,0.465072288158402,0.0796519184815453,0.116862682766758,0.316122066577894,0.551934089545163,0.885488397822818,1.56004721279806,1.83226707024252
