date,R_median,R_low,R_high
2024-05-14,NA,NA,NA
2024-05-15,NA,NA,NA
2024-05-16,NA,NA,NA
2024-05-17,NA,NA,NA
2024-05-18,NA,NA,NA
2024-05-19,NA,NA,NA
2024-05-20,NA,NA,NA
2024-05-21,NA,NA,NA
2024-05-22,NA,NA,NA
2024-05-23,NA,NA,NA
2024-05-24,3.29044299853718,1.56205754382966,5.98317772255042
2024-05-25,4.09039829642924,2.23500400457594,6.76820977691233
2024-05-26,3.56716859954162,1.94910997101012,5.90244363547395
2024-05-27,4.67940289269295,2.86745247650185,7.13094509137135
2024-05-28,4.45599342790541,2.76782782490985,6.72235766743095
2024-05-29,4.68764290028324,3.0151468886768,6.88814290116855
2024-05-30,4.67697830616242,3.06749533024088,6.77067258269751
2024-05-31,4.11456364952299,2.67331486397043,5.99974216086827
2024-06-01,3.4441416603977,2.19153945396704,5.10252952367431
2024-06-02,3.28134896430393,2.11060213647802,4.82169846456547
2024-06-03,3.11083818768066,2.02117421795083,4.53613763695951
2024-06-04,3.29986849687737,2.21909986511176,4.68532437054888
2024-06-05,3.32495038166123,2.28365035442793,4.64328941783687
2024-06-06,3.52721731176314,2.49346892619348,4.81373893121846
2024-06-07,4.31617014983077,3.2046298349048,5.65926806757795
2024-06-08,4.21466436562464,3.15871549110665,5.48335535267947
2024-06-09,3.8023845012691,2.84112126270818,4.95943833136065
2024-06-10,3.779752382899,2.85708315119886,4.88255941075177
2024-06-11,4.37525503926734,3.41427873282153,5.50165244795196
2024-06-12,4.06625435834646,3.17913347521397,5.10487689539791
2024-06-13,4.2567641784314,3.38438965069026,5.26759519806654
2024-06-14,4.07836966396483,3.26148762297969,5.02149232751371
2024-06-15,3.75572638957145,3.00764108319012,4.61867697950477
2024-06-16,3.49316554099537,2.80494590013872,4.28572810310835
2024-06-17,3.42922311279486,2.77777544827284,4.17537173539829
2024-06-18,2.97853278142342,2.40099287318345,3.64203529254459
2024-06-19,3.10486001040414,2.53993789419303,3.74794027813768
2024-06-20,2.80222650223006,2.29001285678824,3.38568040128496
2024-06-21,2.28310729885216,1.84270821447423,2.78866421573006
2024-06-22,2.09664706894876,1.69221515727605,2.5609154055669
2024-06-23,1.91233086321116,1.54152836670964,2.33832460675786
2024-06-24,1.89285711196796,1.53682342459849,2.30006013295977
2024-06-25,1.85816373932472,1.51692960696207,2.2471111179747
2024-06-26,1.63825016314476,1.32858119092734,1.9926781776071
2024-06-27,1.69468381921452,1.38774434883741,2.04386805818937
2024-06-28,1.81202319273808,1.50162262151228,2.16251985855902
2024-06-29,1.90790684903374,1.59587497561728,2.2581904049266
2024-06-30,1.84242600990851,1.54220651274891,2.17929742657618
2024-07-01,1.96407056840465,1.65922421281725,2.30415645609531
2024-07-02,1.9587376247306,1.65962163205517,2.29180804861228
2024-07-03,1.97890443029496,1.68325069420511,2.30731032548205
2024-07-04,1.92138708189201,1.63520016215873,2.23917001752933
2024-07-05,1.94763686113835,1.66434010117652,2.26139644978699
2024-07-06,1.76118992721992,1.49725509366581,2.05446320654011
2024-07-07,1.71633722355314,1.46069208683839,2.00020645874507
2024-07-08,1.56477446960719,1.32582002115006,1.83085405540316
2024-07-09,1.54394144365862,1.31112658283795,1.80281476141261
2024-07-10,1.53254394253143,1.30496480901393,1.78516401693595
2024-07-11,1.46485542412386,1.24666801897498,1.70713146592172
2024-07-12,1.33902027701637,1.13454042513862,1.56671185021181
2024-07-13,1.32805063745041,1.12779050090783,1.55072545201294
2024-07-14,1.26852340140267,1.07603598786805,1.48270676995303
2024-07-15,1.22281123846479,1.0366717430234,1.43000547216019
2024-07-16,1.1658778375647,0.986688398513428,1.36555495493198
2024-07-17,1.07511942633436,0.905418130977274,1.26481086230463
2024-07-18,0.998405488931456,0.83689322755474,1.17947547954409
2024-07-19,0.941996921867311,0.78678906333493,1.11639131528335
2024-07-20,0.897188531979657,0.747101115443889,1.06615027331067
2024-07-21,0.870585414788454,0.723811419196356,1.03597999862727
2024-07-22,0.883049149769808,0.735893505273371,1.04863030949909
2024-07-23,0.84787461516998,0.704365845629382,1.00967095392257
2024-07-24,0.780067103607754,0.643067926878776,0.935271238333111
2024-07-25,0.700685494508964,0.57140536258622,0.848139794413139
2024-07-26,0.808049316091364,0.668494685180664,0.965798723473827
2024-07-27,0.825226502684455,0.683864748127186,0.984848707795927
2024-07-28,0.844599311309426,0.701076618938678,1.00649365604232
2024-07-29,0.800952662970878,0.660881341514533,0.959547561307952
2024-07-30,0.794425225459518,0.65430561678707,0.953255382899126
2024-07-31,0.847863299739448,0.702031933040442,1.01261953757196
2024-08-01,0.903233294240092,0.75154840166642,1.07407705727523
2024-08-02,0.823914971392761,0.678594002633055,0.988641040542274
2024-08-03,0.773283022567393,0.631936091606495,0.934288920638394
2024-08-04,0.767764581963417,0.626108008194327,0.929335200752913
2024-08-05,0.745975795899471,0.605662767714085,0.906454680309935
2024-08-06,0.643550068526083,0.513181955936696,0.794331902500836
2024-08-07,0.570737979541637,0.447851924432098,0.714287510098106
2024-08-08,0.520684343599003,0.403087852036695,0.659202525427688
2024-08-09,0.419894114203219,0.314693158956121,0.546289915148105
2024-08-10,0.434469912296478,0.326573931732194,0.563872584323725
2024-08-11,0.441732128051146,0.332032653464048,0.573297780982007
